id,date,league_level,teams,venue,role,notes,supervisor_feedback
1,2015-05-03,Winnipeg Police Service 5k,Winnipeg,5k,39:55,,,,363th,363th place overall
2,2016-05-01,Winnipeg Police Service 5k,Winnipeg,5k,40:14,,,,344th,344th place overall
3,2017-05-07,Winnipeg Police Service 5k,Winnipeg,5k,32:39,,,,182th,182th place overall
4,2017-10-29,MEC Race #5,Winnipeg,3k,22:35,,,,19th,19th place overall
5,2018-05-06,Winnipeg Police Service 5k,Winnipeg,5k,27:25,,,,65th,65th place overall
6,2019-05-05,Winnipeg Police Service 5k,Winnipeg,5k,23:25,,,,21st,21st place overall
7,2019-05-25,Run for Wishes,Headingley,5k,24:25,,,,46th,46th place overall
8,2019-10-27,MEC Race #3,Winnipeg,3k,13:43,,,,1st,1st place overall
